PID,MS Zoning,Lot Frontage,Lot Area,Overall Qual,Full Bath,Foundation,Year Built,Yr Sold,Neighborhood,Kitchen AbvGr,Bedroom AbvGr,SalePrice
527402200,RL,,1044.0,6,1,CBlock,1970,2010,NAmes,1,2,149.0
527402250,,,1165.0,5,1,CBlock,1971,2010,NAmes,1,3,149.9
527403020,RL,20.0,785.0,5,1,CBlock,1968,2010,NAmes,1,3,142.0
527404120,RL,21.0,780.0,4,1,CBlock,1970,2010,NAmes,1,2,126.0
527425090,RL,21.0,975.0,4,1,CBlock,1971,2010,NAmes,1,3,115.0
527427230,,8.0,544.0,7,2,PConc,1999,2010,NAmes,1,2,184.0
527451180,RM,6.0,156.0,6,1,CBlock,1971,2010,BrDale,1,2,96.0
527451330,RM,6.0,156.0,5,1,CBlock,1971,2010,BrDale,1,3,105.5
527451410,RM,6.0,156.0,6,1,CBlock,1971,2010,BrDale,1,3,88.0
527452190,RL,16.0,376.0,6,2,CBlock,1977,2010,NPkVill,1,2,127.5
527453130,RL,7.0,212.0,6,2,CBlock,1975,2010,NPkVill,1,3,149.9
527453150,RL,7.0,212.0,7,1,CBlock,1975,2010,NPkVill,1,2,120.0
527454200,RL,7.0,212.0,6,2,CBlock,1978,2010,NPkVill,1,3,146.0
528108120,RL,31.0,1195.0,9,2,PConc,2009,2010,NridgHt,1,3,376.162
528112020,RL,30.0,1066.0,8,2,PConc,2007,2010,NridgHt,1,3,306.0
528120060,RL,25.0,944.0,9,2,PConc,2009,2010,NridgHt,1,3,395.192
528120090,,29.0,1197.0,8,2,PConc,2009,2010,NridgHt,1,3,290.941
528120100,RL,29.0,1132.0,7,2,PConc,2005,2010,NridgHt,1,3,220.0
528120120,RL,27.0,1070.0,9,2,PConc,2005,2010,NridgHt,1,3,275.0
528138020,RL,24.0,1312.0,8,2,PConc,2005,2010,NridgHt,1,3,259.0
528138060,RL,21.0,945.0,7,2,PConc,2004,2010,NridgHt,1,3,214.0
528150070,RL,30.0,1200.0,9,2,PConc,2009,2010,NridgHt,1,2,611.657
528175010,RL,13.0,592.0,7,2,PConc,2009,2010,NridgHt,1,2,224.0
528176010,,34.0,1329.0,9,2,PConc,2003,2010,NridgHt,1,3,500.0
528176070,RL,32.0,1268.0,8,2,PConc,2002,2010,NridgHt,1,3,320.0
528180070,RL,19.0,711.0,9,2,PConc,2005,2010,NridgHt,1,2,319.9
528181050,RL,12.0,663.0,8,2,PConc,2006,2010,NridgHt,1,2,205.0
528188120,RL,11.0,244.0,7,2,PConc,2003,2010,NridgHt,1,2,175.5
528218150,RL,30.0,1718.0,6,2,PConc,2005,2010,Gilbert,1,3,199.5
528228285,RL,13.0,298.0,7,2,PConc,2006,2010,Blmngtn,1,2,160.0
528228440,RL,13.0,296.0,8,2,PConc,2004,2010,Blmngtn,1,2,192.0
528231020,RL,20.0,1236.0,7,2,PConc,2004,2010,Gilbert,1,3,184.5
528240070,RL,,729.0,6,2,PConc,2002,2010,Gilbert,1,4,216.5
528240130,,19.0,797.0,7,2,PConc,2004,2010,Gilbert,1,3,185.088
528250100,RL,,720.0,7,2,PConc,2000,2010,Gilbert,1,3,180.0
528292020,RL,,883.0,7,2,PConc,2001,2010,Gilbert,1,3,222.5
528328100,RL,33.0,1373.0,9,2,PConc,1999,2010,NoRidge,1,4,333.168
528344070,RL,18.0,1620.0,8,2,PConc,1998,2010,NoRidge,1,4,355.0
528358010,RL,18.0,984.0,7,2,PConc,1996,2010,NoRidge,1,3,260.4
528363130,,30.0,1139.0,8,2,PConc,1994,2010,NoRidge,1,3,325.0
528382020,RL,28.0,1093.0,8,2,PConc,1999,2010,NoRidge,1,4,290.0
528382030,RL,18.0,1558.0,7,2,PConc,1998,2010,NoRidge,1,4,221.0
528386040,RL,17.0,1368.0,8,2,PConc,1995,2010,NoRidge,1,4,410.0
528445060,RL,22.0,835.0,8,2,PConc,2005,2010,Somerst,1,2,221.5
528456160,FV,28.0,856.0,7,2,PConc,2009,2010,Somerst,1,2,204.5
528458070,FV,22.0,803.0,7,2,PConc,2009,2010,Somerst,1,3,215.2
528458110,FV,23.0,836.0,8,2,PConc,2008,2010,Somerst,1,3,262.5
528477080,,30.0,1166.0,7,2,PConc,2004,2010,Somerst,1,3,254.9
528480090,FV,26.0,970.0,6,2,PConc,2005,2010,Somerst,1,2,271.5
531367050,RL,23.0,942.0,7,2,PConc,2004,2010,SawyerW,1,4,233.0
531369060,RL,21.0,1107.0,7,2,PConc,2004,2010,SawyerW,1,3,181.0
531380080,RL,,825.0,7,2,PConc,1994,2010,SawyerW,1,3,205.0
531451110,RL,15.0,744.0,6,2,CBlock,1980,2010,SawyerW,1,2,143.0
531451280,RL,21.0,1042.0,6,2,PConc,1992,2010,SawyerW,1,3,189.0
531452020,RL,17.0,733.0,6,2,CBlock,1979,2010,SawyerW,1,2,99.5
531452050,RL,15.0,667.0,6,1,CBlock,1984,2010,SawyerW,1,2,125.0
531452180,RL,,878.0,7,2,PConc,1993,2010,SawyerW,1,3,194.5
531453010,RL,25.0,899.0,6,2,PConc,1984,2010,SawyerW,1,3,152.0
531453040,RL,21.0,780.0,6,2,CBlock,1980,2010,SawyerW,1,3,171.0
531477050,RH,21.0,910.0,5,1,BrkTil,1920,2010,SawyerW,1,2,67.5
532351140,RM,21.0,830.0,6,2,Slab,1978,2010,Sawyer,2,4,112.0
532354090,,27.0,1095.0,5,1,CBlock,1961,2010,Sawyer,1,3,148.0
532376160,RL,20.0,785.0,5,1,CBlock,1965,2010,Sawyer,1,3,138.5
532377060,RL,,912.0,5,1,CBlock,1967,2010,Sawyer,1,3,122.0
532377100,RL,23.0,697.0,5,1,CBlock,1963,2010,Sawyer,1,3,133.0
532378110,RL,,641.0,5,1,CBlock,1962,2010,Sawyer,1,3,127.0
532479070,RL,12.0,1432.0,6,2,CBlock,1974,2010,Sawyer,1,3,169.0
533130020,RL,33.0,946.0,7,2,PConc,1992,2010,NoRidge,1,3,190.0
533130130,RL,26.0,1221.0,8,2,PConc,1993,2010,NoRidge,1,4,362.5
533130160,RL,27.0,1034.0,8,2,PConc,1992,2010,NoRidge,1,4,285.0
533205060,FV,8.0,449.0,7,2,PConc,2004,2010,Somerst,1,2,260.0
533208090,FV,12.0,327.0,7,2,PConc,2004,2010,Somerst,1,2,190.0
533210060,FV,9.0,299.0,7,2,PConc,2004,2010,Somerst,1,2,155.0
533212010,FV,9.0,296.0,7,2,PConc,2004,2010,Somerst,1,2,151.0
533212020,FV,7.0,236.0,7,2,PConc,2004,2010,Somerst,1,2,149.5
533212060,FV,7.0,236.0,6,2,PConc,2005,2010,Somerst,1,2,152.0
533213030,FV,,409.0,7,2,PConc,2009,2010,Somerst,1,2,222.0
533221090,FV,,197.0,6,2,PConc,2000,2010,Somerst,1,3,177.5
533221110,FV,,277.0,6,2,PConc,2000,2010,Somerst,1,2,177.0
533223020,FV,7.0,239.0,7,2,PConc,1999,2010,Somerst,1,3,155.0
533223100,FV,,223.0,7,2,PConc,2003,2010,Somerst,1,2,147.11
533238045,FV,17.0,1194.0,8,1,PConc,2010,2010,Somerst,1,1,267.916
533244030,FV,21.0,686.0,8,2,PConc,2000,2010,Somerst,1,3,254.0
533253060,RL,9.0,411.0,8,1,CBlock,1980,2010,Greens,1,1,155.0
533253210,RL,12.0,360.0,8,1,CBlock,1978,2010,Greens,1,1,206.0
533352170,RL,,1256.0,6,2,CBlock,1976,2010,Sawyer,1,3,130.5
534102025,FV,24.0,743.0,7,2,PConc,2002,2010,Somerst,1,3,230.0
534129040,RL,,971.0,6,2,CBlock,1967,2010,NWAmes,1,4,218.5
534151175,RL,24.0,1003.0,6,2,PConc,1993,2010,NWAmes,1,4,243.5
534152050,RL,,985.0,6,2,PConc,1977,2010,NWAmes,1,3,205.0
534152070,RL,,1750.0,6,3,PConc,1978,2010,NWAmes,1,3,212.5
534152100,RL,24.0,968.0,7,2,CBlock,1988,2010,NWAmes,1,3,196.5
534176060,,24.0,870.0,6,1,CBlock,1972,2010,NWAmes,1,3,197.5
534176230,RL,24.0,892.0,6,1,CBlock,1971,2010,NWAmes,1,4,171.0
534202160,RL,24.0,892.0,5,1,CBlock,1966,2010,NAmes,1,3,142.25
534251320,RL,,910.0,6,1,CBlock,1963,2010,NWAmes,1,3,143.0
534276360,RL,23.0,866.0,4,1,CBlock,1959,2010,NAmes,1,3,128.95
534401110,RL,27.0,920.0,5,1,PConc,1966,2010,NAmes,1,3,159.0
534401140,RL,27.0,899.0,5,2,CBlock,1967,2010,NAmes,1,3,178.9
534403360,RL,,985.0,6,2,CBlock,1964,2010,NAmes,1,3,136.3
534403410,RL,,1311.0,5,1,PConc,1964,2010,NAmes,1,3,180.5
534425310,RL,24.0,818.0,6,1,PConc,1963,2010,NAmes,1,3,137.5
534427010,RL,30.0,1232.0,5,2,CBlock,1962,2010,NAmes,2,6,84.9
534430080,RL,21.0,903.0,5,1,CBlock,1950,2010,NAmes,1,2,142.125
534431050,RL,21.0,903.0,5,2,CBlock,1952,2010,NAmes,1,3,197.6
534431070,RL,37.0,1613.0,6,2,CBlock,1949,2010,NAmes,1,3,172.5
534450180,RL,15.0,670.0,5,1,CBlock,1958,2010,BrkSide,1,2,116.5
534451150,RL,17.0,497.0,3,1,CBlock,1940,2010,BrkSide,1,3,76.5
534475100,RL,24.0,922.0,5,1,CBlock,1954,2010,NAmes,1,3,128.0
534476260,RL,24.0,892.0,6,1,CBlock,1955,2010,NAmes,1,3,153.0
534479320,RL,24.0,725.0,5,1,PConc,1954,2010,NAmes,1,2,132.0
535101020,RL,23.0,1057.0,6,1,CBlock,1966,2010,NAmes,1,2,178.0
535106190,,24.0,1078.0,5,2,CBlock,1960,2010,NAmes,2,5,154.3
535125010,RL,,1849.0,7,2,CBlock,1970,2010,NAmes,1,3,180.0
535126040,RL,42.0,1532.0,6,2,CBlock,1966,2010,NAmes,1,2,190.0
535152010,RL,21.0,768.0,5,2,CBlock,1958,2010,NAmes,2,4,135.0
535152050,RL,21.0,762.0,7,2,PConc,2003,2010,NAmes,1,3,214.0
535152130,RL,,748.0,5,1,CBlock,1959,2010,NAmes,1,3,136.0
535152150,RL,21.0,980.0,5,1,CBlock,1959,2010,NAmes,1,4,165.5
535152250,RL,21.0,780.0,5,1,CBlock,1957,2010,NAmes,1,3,145.0
535153070,RL,22.0,814.0,6,1,CBlock,1959,2010,NAmes,1,3,148.0
535154050,RL,,1130.0,5,1,CBlock,1959,2010,NAmes,1,3,142.0
535175070,RL,22.0,864.0,5,1,CBlock,1960,2010,NAmes,1,3,167.5
535175180,RL,27.0,996.0,5,1,CBlock,1959,2010,NAmes,1,3,108.538
535179020,RL,24.0,932.0,6,1,CBlock,1959,2010,NAmes,1,3,159.5
535180130,RL,18.0,779.0,4,1,CBlock,1956,2010,NAmes,1,3,108.0
535302080,,18.0,1017.0,5,1,CBlock,1952,2010,NAmes,1,2,135.0
535302200,RL,36.0,1012.0,5,1,CBlock,1955,2010,NAmes,1,3,122.5
535304060,RL,21.0,1262.0,5,1,CBlock,1958,2010,NAmes,1,2,119.0
535304180,RL,21.0,736.0,5,1,CBlock,1953,2010,NAmes,1,3,109.0
535325400,RL,20.0,734.0,4,1,BrkTil,1920,2010,NAmes,1,2,105.0
535327140,RL,18.0,669.0,5,1,Slab,1955,2010,NAmes,1,2,107.5
535350030,RL,26.0,948.0,5,1,CBlock,1954,2010,NAmes,1,3,144.9
535350040,RL,23.0,545.0,5,1,CBlock,1956,2010,NAmes,1,2,129.0
535353190,RL,24.0,1626.0,6,1,CBlock,1948,2010,NAmes,1,3,97.5
535377090,RL,20.0,648.0,6,0,CBlock,1980,2010,OldTown,2,0,144.0
535401080,RL,,913.0,5,1,CBlock,1959,2010,NAmes,1,3,162.0
535425010,RL,29.0,1047.0,7,2,CBlock,1967,2010,NAmes,1,5,242.0
535450210,RL,18.0,749.0,6,1,CBlock,1948,2010,NAmes,1,3,132.0
535453070,RL,23.0,697.0,5,1,CBlock,1959,2010,NAmes,1,3,154.0
535454070,RL,22.0,792.0,5,2,CBlock,1952,2010,NAmes,1,4,166.0
535456110,,18.0,669.0,5,1,CBlock,1951,2010,NAmes,1,3,134.8
535457010,RL,27.0,929.0,6,1,CBlock,1962,2010,NAmes,1,3,160.0
535457090,RL,25.0,709.0,5,1,CBlock,1960,2010,NAmes,1,3,148.0
535476350,RL,24.0,907.0,6,1,CBlock,1963,2010,NAmes,1,2,192.0
535477020,RL,21.0,715.0,6,1,CBlock,1966,2010,NAmes,1,4,155.0
902102100,RM,18.0,446.0,4,1,PConc,1900,2010,OldTown,1,3,80.4
902104060,RM,17.0,818.0,4,1,BrkTil,1910,2010,OldTown,1,3,96.5
902106130,RM,17.0,417.0,5,1,PConc,1920,2010,OldTown,1,2,109.5
902106140,RM,17.0,832.0,5,1,CBlock,1927,2010,OldTown,1,2,115.0
902110090,RM,21.0,539.0,5,1,CBlock,1957,2010,OldTown,1,3,143.0
902125080,RM,18.0,538.0,3,2,CBlock,1915,2010,OldTown,2,3,107.4
902125160,RM,14.0,428.0,4,1,CBlock,1945,2010,OldTown,1,2,80.0
902128170,RM,18.0,669.0,5,1,CBlock,1940,2010,OldTown,1,2,119.0
902206040,RM,15.0,511.0,5,1,BrkTil,1929,2010,OldTown,1,3,130.0
902206130,RM,15.0,641.0,6,1,PConc,1938,2010,OldTown,1,3,119.0
902206220,RM,21.0,1101.0,5,1,BrkTil,1948,2010,OldTown,1,3,129.0
902206240,RM,,765.0,5,1,BrkTil,1920,2010,OldTown,1,3,100.0
902207130,RM,21.0,897.0,2,1,BrkTil,1923,2010,OldTown,1,2,12.789
902207140,RM,18.0,792.0,6,1,BrkTil,1928,2010,OldTown,1,2,105.9
902305110,RM,18.0,892.0,8,2,BrkTil,1900,2010,OldTown,1,3,150.0
902327040,RM,18.0,1003.0,5,2,PConc,1915,2010,OldTown,1,4,139.0
902329030,RM,15.0,836.0,8,3,Stone,1890,2010,OldTown,1,3,240.0
902401060,RM,30.0,840.0,5,2,BrkTil,1910,2010,OldTown,2,4,76.5
902402010,RM,27.0,688.0,6,1,CBlock,1957,2010,OldTown,1,2,149.7
902402130,RM,18.0,719.0,4,1,CBlock,1910,2010,OldTown,1,3,125.5
902402250,RM,18.0,1054.0,4,2,PConc,1885,2010,OldTown,2,4,122.5
902403070,RM,18.0,981.0,6,1,CBlock,1922,2010,OldTown,1,2,140.75
903204040,RM,16.0,542.0,5,1,CBlock,1950,2010,BrkSide,1,3,128.5
903206120,RL,,724.0,7,1,BrkTil,1922,2010,BrkSide,1,3,209.5
903225150,RM,15.0,465.0,4,1,BrkTil,1925,2010,BrkSide,1,2,87.0
903226160,RM,15.0,557.0,6,1,BrkTil,1939,2010,BrkSide,1,2,134.0
903227020,RM,15.0,557.0,6,1,CBlock,1940,2010,BrkSide,1,3,128.0
903227150,RM,16.0,591.0,5,1,CBlock,1942,2010,BrkSide,1,3,132.0
903228150,RM,15.0,557.0,6,1,CBlock,1948,2010,BrkSide,1,3,139.9
903232190,RM,16.0,580.0,5,1,CBlock,1936,2010,BrkSide,1,2,123.9
903233120,RM,16.0,580.0,5,2,BrkTil,1930,2010,BrkSide,1,4,138.4
903234050,RM,16.0,569.0,6,1,BrkTil,1923,2010,OldTown,1,2,109.5
903425110,RM,15.0,957.0,7,2,BrkTil,1921,2010,OldTown,1,3,140.0
903426180,RM,17.0,752.0,4,1,CBlock,1915,2010,OldTown,1,4,149.5
903426200,RM,18.0,1198.0,6,1,PConc,1912,2010,OldTown,1,3,159.9
903430080,RM,16.0,285.0,6,1,BrkTil,1920,2010,OldTown,1,3,122.0
903450110,RM,34.0,787.0,5,1,CBlock,1963,2010,IDOTRR,1,2,110.0
903454060,RM,21.0,520.0,4,2,Slab,1930,2010,IDOTRR,2,3,55.0
903476030,RM,23.0,709.0,5,2,BrkTil,1900,2010,OldTown,2,4,140.0
904100140,RL,,2238.0,7,2,CBlock,1940,2010,ClearCr,1,4,244.4
904101110,RL,30.0,1418.0,5,2,CBlock,1959,2010,ClearCr,1,3,173.0
904300150,RL,22.0,988.0,5,1,BrkTil,1917,2010,ClearCr,1,3,107.5
904302260,RL,18.0,920.0,5,1,BrkTil,1915,2010,SWISU,1,3,100.0
904350045,RL,20.0,558.0,6,1,CBlock,1940,2010,SWISU,1,3,95.0
904351040,C,,599.0,4,1,CBlock,1907,2010,SWISU,1,4,93.369
904352190,RH,18.0,562.0,5,2,BrkTil,1910,2010,SWISU,2,2,114.9
905101100,RL,16.0,589.0,5,1,CBlock,1875,2010,Sawyer,1,2,94.0
905101300,RL,22.0,1001.0,4,2,CBlock,1967,2010,Sawyer,2,4,136.0
905101310,RL,22.0,1001.0,4,2,CBlock,1968,2010,Sawyer,2,4,136.5
905102060,RL,23.0,1080.0,5,1,PConc,1965,2010,Sawyer,1,3,131.5
905103060,RL,,1054.0,5,1,CBlock,1957,2010,Sawyer,1,3,121.5
905104210,RL,21.0,792.0,5,1,CBlock,1967,2010,Sawyer,1,3,125.0
905105070,RL,,766.0,5,1,CBlock,1968,2010,Sawyer,1,3,154.0
905105200,RL,20.0,725.0,5,1,CBlock,1966,2010,Sawyer,1,3,137.9
905106140,RL,24.0,870.0,6,1,CBlock,1969,2010,Sawyer,1,4,158.0
905106170,,20.0,728.0,5,1,CBlock,1968,2010,Sawyer,1,2,137.25
905107110,RL,,690.0,5,1,CBlock,1978,2010,Sawyer,1,3,160.25
905107250,RL,26.0,1043.0,5,1,CBlock,1968,2010,Sawyer,1,4,163.0
905107320,RL,,1079.0,6,2,CBlock,1978,2010,Sawyer,1,3,158.9
905109130,RL,24.0,1301.0,7,2,PConc,1996,2010,ClearCr,1,3,328.0
905109170,RL,,1864.0,7,1,CBlock,1977,2010,ClearCr,1,1,270.0
905201030,RL,29.0,860.0,4,1,BrkTil,1927,2010,Sawyer,1,2,85.0
905202090,RL,18.0,892.0,4,2,CBlock,1950,2010,Sawyer,1,2,128.0
905325030,RL,,2192.0,7,0,PConc,1979,2010,ClearCr,1,0,260.0
905352140,RL,,1587.0,6,2,PConc,1978,2010,ClearCr,1,4,230.0
905378040,RL,38.0,1728.0,3,2,CBlock,1938,2010,Edwards,1,4,124.0
905426060,RL,26.0,987.0,5,1,BrkTil,1920,2010,Edwards,1,2,83.0
905426200,RL,20.0,1066.0,6,1,CBlock,1950,2010,Edwards,1,3,144.5
905451320,RL,21.0,889.0,5,1,CBlock,1956,2010,Edwards,1,3,129.0
905452110,RL,15.0,869.0,4,1,CBlock,1947,2010,Edwards,1,3,127.0
905452160,RL,23.0,885.0,5,1,CBlock,1954,2010,Edwards,1,3,128.0
905453040,RL,25.0,968.0,6,2,PConc,2009,2010,Edwards,1,3,186.0
905453080,RL,13.0,1624.0,7,1,PConc,2009,2010,Edwards,1,1,308.03
905475510,RL,,1041.0,5,2,CBlock,1964,2010,Edwards,1,3,114.0
905478190,RL,18.0,1031.0,4,1,CBlock,1946,2010,Edwards,1,2,84.9
906201030,RL,23.0,855.0,6,2,CBlock,1985,2010,SawyerW,1,3,178.0
906201120,RL,25.0,1113.0,7,1,CBlock,1987,2010,SawyerW,1,1,270.0
906204230,RL,27.0,1148.0,6,2,PConc,1993,2010,SawyerW,1,3,218.0
906223090,RL,24.0,923.0,7,2,PConc,1993,2010,SawyerW,1,3,236.0
906225210,RL,22.0,843.0,6,1,PConc,1992,2010,SawyerW,1,2,147.0
906378100,RL,20.0,973.0,8,2,PConc,2008,2010,CollgCr,1,3,245.35
906380190,RL,20.0,628.0,7,2,PConc,2006,2010,CollgCr,1,2,206.0
906385010,RL,29.0,966.0,7,2,PConc,2009,2010,CollgCr,1,3,198.9
906385020,RL,20.0,684.0,7,2,PConc,2010,2010,CollgCr,1,2,187.0
906402200,RL,27.0,1150.0,7,3,PConc,1990,2010,SawyerW,1,5,320.0
906425045,RL,25.0,1322.0,6,2,PConc,1900,2010,SawyerW,1,3,138.5
906477110,RL,24.0,819.0,6,1,CBlock,1971,2010,ClearCr,1,3,155.0
907125090,RL,25.0,1032.0,5,1,PConc,1996,2010,CollgCr,1,2,159.0
907180050,RL,,867.0,7,2,PConc,1997,2010,CollgCr,1,3,191.0
907185060,RL,21.0,813.0,6,2,PConc,1998,2010,CollgCr,1,3,200.5
907200280,RL,12.0,1416.0,5,1,CBlock,1977,2010,CollgCr,1,3,150.0
907200290,RL,,1013.0,6,1,CBlock,1977,2010,CollgCr,1,3,161.75
907200340,RL,23.0,989.0,5,1,CBlock,1976,2010,CollgCr,1,3,128.2
907203070,RL,21.0,695.0,5,1,CBlock,1972,2010,CollgCr,1,3,127.0
907250030,RL,24.0,965.0,8,2,PConc,2003,2010,CollgCr,1,3,318.0
907252120,RL,,1061.0,8,2,PConc,2001,2010,CollgCr,1,3,272.0
907262050,RL,13.0,887.0,7,2,PConc,2003,2010,CollgCr,1,3,237.0
907280040,RL,23.0,871.0,7,2,PConc,1997,2010,CollgCr,1,4,240.0
907290040,RL,15.0,1128.0,7,2,PConc,1998,2010,CollgCr,1,3,224.9
907290170,RM,,412.0,6,1,PConc,2003,2010,CollgCr,1,1,143.75
907290240,RM,,411.0,6,1,PConc,2004,2010,CollgCr,1,1,143.0
907401090,RL,15.0,988.0,8,2,PConc,2003,2010,CollgCr,1,3,232.0
907410080,RL,21.0,780.0,7,2,PConc,2004,2010,CollgCr,1,3,213.0
907414030,RL,20.0,815.0,7,2,PConc,2004,2010,CollgCr,1,3,185.5
908102060,RL,20.0,815.0,3,1,CBlock,1945,2010,Edwards,1,2,84.9
908102110,RL,21.0,821.0,5,1,CBlock,1954,2010,Edwards,1,3,155.891
908102130,RL,23.0,913.0,5,2,CBlock,1965,2010,Edwards,2,4,100.0
908102170,RL,18.0,933.0,5,1,CBlock,1968,2010,Edwards,1,3,144.0
908102300,RL,27.0,1096.0,4,1,CBlock,1948,2010,Edwards,1,2,64.0
908103350,RL,20.0,586.0,6,1,CBlock,1975,2010,Edwards,1,3,125.2
908152080,RL,29.0,726.0,6,1,CBlock,1976,2010,Edwards,1,3,107.0
908203100,RL,20.0,596.0,4,1,CBlock,1958,2010,Edwards,1,3,90.0
908208020,RM,24.0,794.0,4,2,PConc,2003,2010,Edwards,1,2,140.0
908225320,RL,16.0,812.0,6,1,CBlock,1945,2010,Edwards,1,3,113.0
908226130,RL,18.0,1132.0,4,1,BrkTil,1941,2010,Edwards,1,2,80.0
908275300,RL,21.0,795.0,5,1,CBlock,1957,2010,Edwards,1,4,144.5
909100080,RL,20.0,451.0,5,2,BrkTil,1924,2010,SWISU,1,2,104.0
909100110,RL,20.0,637.0,6,1,PConc,1915,2010,SWISU,1,4,128.0
909101070,RL,14.0,763.0,3,1,BrkTil,1914,2010,Edwards,1,2,58.5
909176140,,15.0,465.0,5,2,BrkTil,1924,2010,SWISU,1,3,127.0
909176150,RL,,733.0,6,1,CBlock,1939,2010,SWISU,1,2,126.0
909177100,RH,18.0,669.0,4,3,Slab,1967,2010,SWISU,2,6,160.0
909250030,RL,16.0,914.0,5,1,PConc,1931,2010,SWISU,1,3,100.0
909250060,RL,15.0,895.0,6,2,PConc,1919,2010,SWISU,1,4,169.0
909281080,RL,24.0,971.0,7,1,BrkTil,1941,2010,Crawfor,1,4,257.5
909426080,RL,24.0,1449.0,5,2,CBlock,1950,2010,Crawfor,2,5,215.0
909427230,RL,20.0,840.0,7,2,Stone,1941,2010,Crawfor,1,4,266.5
909428280,RL,30.0,1626.0,7,2,PConc,1959,2010,Crawfor,1,3,335.0
909452114,RL,26.0,1825.0,7,2,PConc,1994,2010,Crawfor,1,3,203.135
909455030,RM,11.0,363.0,8,1,CBlock,1989,2010,Blueste,1,1,185.0
909455040,RM,11.0,363.0,8,2,CBlock,1989,2010,Blueste,1,2,162.5
909475140,RL,30.0,1449.0,7,2,CBlock,1959,2010,Crawfor,1,1,289.0
910202060,RM,12.0,505.0,4,1,BrkTil,1922,2010,IDOTRR,1,3,125.5
910203250,RM,18.0,758.0,2,1,BrkTil,1941,2010,IDOTRR,1,1,82.0
910205120,RM,15.0,849.0,6,1,BrkTil,1921,2010,IDOTRR,1,2,110.0
911128180,C,18.0,697.0,4,1,CBlock,1920,2010,IDOTRR,1,2,68.4
911202100,C,20.0,809.0,4,1,Stone,1900,2010,IDOTRR,1,2,102.776
911204090,C,20.0,809.0,5,1,CBlock,1952,2010,IDOTRR,1,2,55.993
911204100,C,20.0,809.0,4,1,CBlock,1896,2010,IDOTRR,1,3,50.138
911370510,,13.0,354.0,8,2,PConc,2004,2010,Crawfor,1,2,246.0
914467040,RL,26.0,1027.0,8,2,PConc,1998,2010,Mitchel,1,3,254.9
914475090,RL,23.0,894.0,6,2,CBlock,1977,2010,Mitchel,1,3,190.0
914476520,RL,39.0,854.0,7,2,PConc,2003,2010,Mitchel,1,3,201.0
914478045,RL,,1145.0,6,1,CBlock,1976,2010,Mitchel,1,3,169.9
914478110,RL,,1185.0,6,3,CBlock,1976,2010,Mitchel,2,5,170.0
916125360,RL,,5314.0,5,1,CBlock,1948,2010,Timber,1,3,160.0
916386010,RL,27.0,1105.0,7,2,PConc,2008,2010,Timber,1,3,220.0
916386020,RL,22.0,911.0,7,2,PConc,2009,2010,Timber,1,2,179.781
916386060,RL,22.0,911.0,5,2,PConc,2006,2010,Timber,1,3,174.0
916386090,RL,28.0,1115.0,8,2,PConc,2009,2010,Timber,1,4,269.5
916455170,RL,24.0,1051.0,7,2,PConc,2002,2010,Timber,1,4,214.9
916475110,RL,26.0,1318.0,8,2,PConc,2002,2010,Timber,1,4,202.9
921128020,RL,27.0,1228.0,9,2,PConc,2008,2010,Timber,1,3,378.5
