PID,Year Built,SalePrice,Fireplaces,Bedroom AbvGr,Overall Qual,Gr Liv Area,Lot Area,Pool Area
903228150,1948,139900,0,3,6,1416,6000,0
903232190,1936,123900,0,2,5,1040,6240,0
903233120,1930,138400,1,4,5,1536,6240,0
903234050,1923,109500,1,2,6,1068,6120,0
903425110,1921,140000,0,3,7,1710,10300,0
903426180,1915,149500,1,4,4,1962,8094,0
903426200,1912,159900,0,3,6,1560,12900,0
903430080,1920,122000,0,3,6,1324,3068,0
903450110,1963,110000,0,2,5,816,8472,0
903454060,1930,55000,0,3,4,1092,5600,0
903476030,1900,140000,1,4,5,1812,7630,0
904100140,1940,244400,2,4,7,2403,24090,0
904101110,1959,173000,2,3,5,1675,15263,0
904300150,1917,107500,0,3,5,1224,10632,0
904302260,1915,100000,0,3,5,1392,9900,0
904350045,1940,95000,0,3,6,919,6001,0
904351040,1907,93369,0,4,4,1884,6449,0
904352190,1910,114900,1,2,5,1680,6048,0
905101100,1875,94000,0,2,5,1020,6342,0
905101300,1967,136000,0,4,4,1832,10773,0
905101310,1968,136500,0,4,4,1768,10778,0
905102060,1965,131500,0,3,5,1039,11625,0
905103060,1957,121500,1,3,5,1392,11341,0
905104210,1967,125000,1,3,5,912,8521,0
905105070,1968,154000,1,3,5,1060,8246,0
905105200,1966,137900,0,3,5,892,7800,0
905106140,1969,158000,0,4,6,1352,9364,0
905106170,1968,137250,0,2,5,864,7832,0
905107110,1978,160250,2,3,5,1373,7424,0
905107250,1968,163000,2,4,5,1440,11227,0
905107320,1978,158900,1,3,6,1386,11616,0
905109130,1996,328000,0,3,7,2260,14000,0
905109170,1977,270000,2,1,7,1483,20062,0
905201030,1927,85000,0,2,4,756,9259,0
905202090,1950,128000,0,2,4,1067,9600,0
905325030,1979,260000,1,0,7,1524,23595,0
905352140,1978,230000,1,4,6,1981,17082,0
905378040,1938,124000,1,4,3,1610,18600,0
905426060,1920,83000,0,2,5,835,10625,0
905426200,1950,144500,1,3,6,1074,11479,0
905451320,1956,129000,0,3,5,1144,9571,0
905452110,1947,127000,1,3,4,1531,9350,0
905452160,1954,128000,0,3,5,1172,9525,0
905453040,2009,186000,0,3,6,1212,10420,0
905453080,2009,308030,2,1,7,1508,17485,0
905475510,1964,114000,0,3,5,1298,11200,0
905478190,1946,84900,0,2,4,930,11100,0
906201030,1985,178000,1,3,6,1732,9206,0
906201120,1987,270000,2,1,7,1433,11980,0
906204230,1993,218000,1,3,6,1802,12361,0
906223090,1993,236000,1,3,7,1949,9938,0
906225210,1992,147000,0,2,6,996,9069,0
906378100,2008,245350,0,3,8,1694,10475,0
906380190,2006,206000,0,2,7,1208,6762,0
906385010,2009,198900,0,3,7,1226,10402,0
906385020,2010,187000,0,2,7,1222,7360,0
906402200,1990,320000,2,5,7,3222,12376,0
906425045,1900,138500,0,3,6,1445,14235,0
906477110,1971,155000,0,3,6,1052,8816,0
907125090,1996,159000,0,2,5,965,11105,0
907180050,1997,191000,1,3,7,1692,9337,0
907185060,1998,200500,0,3,6,1682,8750,0
907200280,1977,150000,0,3,5,1026,15240,0
907200290,1977,161750,0,3,6,1392,10900,0
907200340,1976,128200,0,3,5,894,10650,0
907203070,1972,127000,0,3,5,876,7480,0
907250030,2003,318000,1,3,8,1978,10389,0
907252120,2001,272000,1,3,8,1601,11423,0
907262050,2003,237000,1,3,7,1829,9548,0
907280040,1997,240000,1,4,7,2098,9375,0
907290040,1998,224900,0,3,7,1661,12137,0
907290170,2003,143750,0,1,6,848,4435,0
907290240,2004,143000,0,1,6,848,4426,0
907401090,2003,232000,1,3,8,1668,10635,0
907410080,2004,213000,0,3,7,1484,8400,0
907414030,2004,185500,0,3,7,1414,8773,0
908102060,1945,84900,0,2,3,640,8777,0
908102110,1954,155891,0,3,5,992,8842,0
908102130,1965,100000,0,4,5,1664,9825,0
908102170,1968,144000,0,3,5,1196,10044,0
908102300,1948,64000,0,2,4,1120,11792,0
908103350,1975,125200,1,3,6,1096,6305,0
908152080,1976,107000,1,3,6,1117,7819,0
908203100,1958,90000,0,3,4,960,6410,0
908208020,2003,140000,0,2,4,1121,8546,0
908225320,1945,113000,1,3,6,1487,8741,0
908226130,1941,80000,0,2,4,924,12180,0
908275300,1957,144500,1,4,5,1526,8562,0
909100080,1924,104000,1,2,5,1296,4853,0
909100110,1915,128000,0,4,6,1647,6858,0
909101070,1914,58500,0,2,3,864,8212,0
909176140,1924,127000,1,3,5,1691,5000,0
909176150,1939,126000,1,2,6,856,7890,0
909177100,1967,160000,0,6,4,2650,7200,0
909250030,1931,100000,1,3,5,1666,9839,0
909250060,1919,169000,1,4,6,2447,9638,0
909281080,1941,257500,2,4,7,2133,10452,0
909426080,1950,215000,0,5,5,2177,15600,0
909427230,1941,266500,2,4,7,2340,9042,0
909428280,1959,335000,2,3,7,1902,17500,0
909452114,1994,203135,0,3,7,1652,19645,0
909455030,1989,185000,1,1,8,1034,3907,0
909455040,1989,162500,1,2,8,1191,3907,0
909475140,1959,289000,2,1,7,1801,15602,0
910202060,1922,125500,0,3,4,1154,5436,0
910203250,1941,82000,0,1,2,540,8154,0
910205120,1921,110000,0,2,6,1107,9140,0
911128180,1920,68400,0,2,4,1128,7500,0
911202100,1900,102776,0,2,4,1178,8712,0
911204090,1952,55993,0,2,5,1044,8712,0
911204100,1896,50138,0,3,4,952,8712,0
911370510,2004,246000,1,2,8,1646,3811,0
914467040,1998,254900,1,3,8,1916,11050,0
914475090,1977,190000,1,3,6,1285,9620,0
914476520,2003,201000,0,3,7,1560,9196,0
914478045,1976,169900,0,3,6,1034,12328,0
914478110,1976,170000,0,5,6,2048,12760,0
916125360,1948,160000,2,3,5,1687,57200,0
916386010,2008,220000,1,3,7,1346,11896,0
916386020,2009,179781,0,2,7,1214,9803,0
916386060,2006,174000,0,3,5,1444,9802,0
916386090,2009,269500,1,4,8,1968,12003,0
916455170,2002,214900,1,4,7,1894,11316,0
916475110,2002,202900,0,4,8,1908,14191,0
921128020,2008,378500,1,3,9,2018,13214,0
923201020,1965,169000,1,2,5,1264,15300,0
923202105,2004,173500,0,3,5,1430,10114,0
923204150,1971,139000,0,4,6,1824,9400,0
923205015,1999,166500,1,3,5,1344,11875,0
923225300,1973,83500,0,3,4,1092,1974,0
923225390,1973,119500,1,2,5,945,2394,0
923225440,1976,85000,0,3,5,1112,2592,0
923226250,1970,76000,0,3,4,1092,1476,0
923226320,1972,75500,0,1,4,630,1491,0
923228270,1970,88250,0,3,4,1092,1900,0
923228370,1972,85500,0,3,4,1092,1890,0
923230190,1971,130000,0,3,5,874,6953,0
923251080,1962,157900,0,3,5,1188,26142,0
923276030,1984,149900,0,2,5,833,12887,0
923276250,1985,159000,0,4,5,2432,7700,0
923426070,1991,136000,0,3,5,1274,10475,0
924100050,1969,161000,0,5,5,1479,10544,0
924151040,1994,285000,2,3,8,1803,9892,0
924152030,1993,231000,1,3,6,1797,12961,0
526302110,1956,124500,0,2,6,882,13008,0
526351100,1974,157000,1,4,6,1434,10200,0
526355080,1972,345000,3,4,8,2704,13860,0
527105070,1997,189500,1,3,6,1608,10179,0
527105130,2003,270000,1,4,8,2283,11792,0
527107130,1996,189000,1,3,7,1628,8400,0
527108070,2006,377500,2,3,9,1746,14892,0
527110020,1995,168500,1,3,7,1474,8530,0
527127100,2004,375000,1,1,8,2522,7296,0
527131030,2000,278000,1,2,8,1659,5664,0
527132090,1998,240000,0,2,8,1478,7380,0
527146010,1995,239500,0,2,8,1734,8013,0
527161040,1998,177500,1,3,7,1382,8923,0
527162110,1998,185000,1,3,7,1718,10141,0
527162120,1998,191000,1,3,6,1636,7500,0
527163040,1993,178000,1,3,6,1571,7837,0
527163070,1993,185000,1,3,6,1470,9765,0
527163130,1994,181316,1,3,6,1516,8803,0
527164020,1993,166000,1,3,6,1190,7250,0
527164060,1992,178000,1,3,6,1593,9636,0
527164090,1994,174000,1,3,6,1481,8125,0
527165130,1992,173000,0,3,6,1167,9248,0
527166010,1999,225000,1,3,7,1983,10762,0
527180100,1990,180500,0,3,7,1442,11851,0
527182110,1984,187500,1,1,8,1360,5814,0
527214050,2008,501837,1,1,9,2234,17423,0
527254020,2008,372500,1,3,8,2046,11844,0
527258020,2005,260000,1,3,7,1530,16158,0
527276160,1977,185000,1,3,5,1934,11900,0
527301320,1980,260000,1,4,7,2353,13005,0
527302175,1979,181000,1,3,6,1586,17043,0
527326040,1977,82500,1,3,7,1411,11900,0
527326150,1977,215000,1,3,6,1602,16635,0
527352150,1978,154000,1,4,7,2050,13250,0
527353020,1978,200000,1,3,6,1671,10928,0
527353060,1980,249000,1,4,7,2673,12388,0
527354100,1980,187500,2,3,7,1472,14115,0
527354200,1978,184000,1,3,6,1707,11088,0
527355150,1981,278000,1,4,8,2524,9600,0
527356040,1978,157000,1,3,7,1601,11880,0
527359050,1976,152000,1,3,7,1370,10400,0
527359180,1976,197500,1,4,5,1868,10304,0
527364030,2003,240900,1,3,7,1884,7000,0
527365030,2009,263435,0,3,8,1935,8004,0
527366030,2000,220000,1,3,8,1874,7500,0
527368010,2002,235000,1,3,8,1811,8470,0
527375100,1975,213000,2,3,5,1621,9373,0
527375180,1974,167900,1,3,6,1116,10140,0
527375210,1975,158000,1,3,7,1193,11050,0
527376100,1974,165000,1,3,6,1350,10140,0
527378140,1972,158000,1,3,6,2119,10448,0
527401160,1974,136000,0,4,5,1792,9000,0
527402220,1970,148500,0,3,5,1002,8750,0
527403040,1969,156000,0,3,6,1026,7930,0
527404020,1970,128000,0,2,5,1180,7830,0
527404030,1971,143000,0,3,5,1050,8510,0
527405130,1970,76500,0,3,4,864,7038,0
527405160,1970,120500,0,3,4,864,6960,0
527405180,1970,124500,0,3,4,864,8120,0
527425060,1971,97000,0,2,4,864,10500,0
527425110,1971,130000,0,3,4,864,9000,0
527450280,1973,111000,0,2,6,987,1680,0
527451110,1970,125000,0,3,5,1365,2368,0
527451320,1971,112000,0,3,5,1302,1680,0
527451540,1972,97000,0,2,6,987,1680,0
527451640,1972,118000,0,2,6,987,1680,0
527451650,1972,119500,0,3,5,1302,1680,0
527452060,1976,143750,0,2,6,958,4928,0
527453050,1976,146000,1,3,6,1548,2308,0
527453060,1976,148500,1,3,6,1456,2280,0
527453140,1975,123000,1,2,7,1055,2280,0
527454050,1974,147000,1,3,6,1322,2308,0
527454130,1977,137900,1,3,6,1456,2349,0
527455050,1978,147000,1,3,6,1548,2364,0
527455060,1978,148500,1,3,6,1441,2289,0
527455080,1978,138000,1,3,6,1456,2364,0
527455090,1976,128500,0,2,7,836,2104,0
527455240,1967,100000,0,3,5,892,7150,0
527455280,1966,148800,1,3,5,1120,10710,0
528102040,2006,337500,1,3,10,1718,12456,0
528102140,2007,462000,3,4,9,2772,14257,0
528104070,2008,485000,2,4,9,3140,13518,0
528106020,2008,555000,2,2,10,2402,15431,0
528106070,2006,325000,2,2,9,1652,13173,0
528108010,2007,256300,1,3,8,1600,14230,0
528108020,2008,253293,1,3,8,2042,12704,0
528108040,2009,398800,1,3,9,2690,12350,0
528108070,2008,335000,1,3,9,2184,11308,0
528108130,2008,404000,1,3,9,2020,12350,0
528108140,2009,402861,1,3,10,2020,12220,0
528110010,2008,451950,1,3,10,2296,13478,0
528110020,2007,610000,2,2,10,2674,13693,0
528110090,2008,582933,1,4,9,2822,13891,0
528112040,2008,360000,1,3,9,1736,11578,0
528116010,2004,296000,2,3,8,1782,16870,0
528118060,2007,409900,1,5,8,2520,23303,0
528120020,2006,255500,1,3,8,1717,11146,0
528120030,2008,335000,1,3,9,1743,10367,0
528120160,2004,274900,1,3,8,1713,9591,0
528120170,2006,300000,1,2,9,1531,10872,0
528138010,2008,324000,1,3,9,1808,13514,0
528142040,2004,350000,1,4,9,2224,8834,0
528142090,2004,280000,1,3,8,1836,11362,0
528142130,2003,284000,1,3,8,1629,10655,0
528142150,2003,269500,1,3,7,1760,12878,0
528144020,2009,233170,0,3,7,1502,9541,0
528166060,2003,386250,1,3,10,2392,13472,0
528166090,2003,445000,1,3,9,2452,15274,0
528168030,2003,290000,1,4,8,2400,13262,0
528172060,2006,255900,1,3,8,1606,9658,0
528174050,2005,213000,1,2,6,1358,6904,0
528174060,2005,196000,1,1,6,1306,5381,0
528174070,2005,184500,1,1,6,1306,5122,0
528175050,2007,212500,1,2,7,1358,10307,0
528175060,2007,230000,1,2,7,1314,5001,0
528176030,2004,552000,1,2,10,2492,14836,0
528178010,2003,382500,1,3,8,2200,15262,0
528180120,2008,320000,1,2,9,1884,7390,0
528180130,2008,248500,1,2,9,1456,6472,0
528186010,2002,286500,1,3,8,1712,16770,0
528186180,2006,254000,1,2,8,1324,6240,0
528188020,2003,173000,1,2,7,1405,3480,0
528188060,2003,173000,0,2,7,1626,2268,0
528218090,2005,184000,1,3,7,1456,10928,0
528220040,2005,167800,1,3,6,1490,8918,0
528221060,2005,174000,1,3,6,1484,12589,0
528221070,2005,174000,1,3,6,1560,11911,0
528228290,2007,174000,1,2,7,1555,3684,0
528228295,2007,175900,1,1,7,1569,3635,0
528228435,2005,192500,1,2,7,1555,3182,0
528228450,2005,181000,1,1,7,1504,3182,0
528228455,2005,180000,1,2,7,1220,3182,0
528228460,2005,160200,1,2,7,1145,3182,0
528235010,2004,188500,1,3,7,1432,7795,0
528235090,2002,200000,1,4,6,2267,8068,0
528235200,2004,170000,1,3,7,1374,9434,0
528240030,2004,189500,1,3,7,1630,7984,0
528240060,2002,184100,1,3,8,1419,7750,0
528240150,2004,195500,1,3,7,1594,10125,0
528250020,2003,192000,1,3,7,1489,8965,0
528250040,2003,178000,1,3,7,1342,8174,0
528253010,2007,207500,1,2,7,1314,5063,0
528275070,2000,236000,1,4,7,2256,8795,0
528275160,2002,257500,1,4,8,2004,12891,0
528280230,2000,244000,1,3,6,2054,12224,0
528290030,2004,167000,0,3,7,1374,9734,0
528290120,2000,179000,1,3,6,1800,8123,0
528290180,2000,190000,1,3,6,1514,8433,0
528290190,1999,156000,1,3,7,1430,7750,0
528292030,1999,245000,1,4,7,2312,15896,0
528292040,1999,181000,1,3,6,1675,24682,0
528292070,1999,214000,1,3,7,2060,8755,0
528294050,1999,168000,1,3,7,1430,7848,0
528315090,1999,337000,1,3,8,2365,9430,0
528321010,1995,403000,1,4,8,2794,15138,0
528327070,2000,327000,2,4,8,2687,12720,0
528344040,1998,340000,1,3,8,2450,16545,0
528344100,1998,336000,1,4,8,2612,12203,0
528354050,1996,265000,1,3,7,2344,10208,0
528363050,1994,315000,2,3,8,2063,10750,0
528365070,1993,260000,1,4,7,2646,9900,0
528385050,1995,260000,1,3,7,2061,9085,0
528387030,1993,263550,1,3,8,2232,11692,0
528390100,1994,402000,1,4,8,2448,46589,0
528390210,1994,248000,1,3,7,1850,29959,0
528427020,2008,244600,1,3,8,1468,9612,0
528431020,2008,275000,0,3,8,1696,11194,0
528431070,2008,257500,1,3,8,1658,10206,0
528435030,2008,287090,1,3,8,1578,9262,0
528435050,2007,275500,1,3,8,1702,10130,0
528439060,2006,245000,1,3,8,1432,9139,0
528441020,2005,253000,1,3,7,1971,9675,0
528441090,2005,468000,2,2,9,2490,11128,0
528456180,2009,252678,1,3,7,1852,8640,0
528456220,2008,210000,0,3,8,1590,9000,0
528456240,2009,208300,0,2,6,1218,7862,0
528458020,2008,225000,0,3,7,1436,7993,0
528458040,2009,229456,0,3,8,1314,8640,0
528458060,2008,229800,0,3,7,1402,8640,0
528458140,2007,250000,1,3,9,1530,12606,0
528458160,2009,370878,1,2,9,1766,9187,0
528458180,2006,238500,1,2,8,1448,7500,0
528477050,2008,310000,1,3,10,2007,11003,0
528477070,2006,270000,1,3,8,1795,10603,0
528480040,2005,252000,1,3,8,1953,10574,0
528480130,2006,241000,0,2,7,1550,8125,0
528480170,2008,264500,1,3,8,1836,8125,0
528482040,2006,291000,1,3,7,1662,10625,0
528482130,2003,263000,1,4,7,2094,9375,0
528488100,2004,185000,0,2,7,1221,7500,0
528490040,2003,234500,0,3,7,1553,8736,0
528490070,2003,209000,0,3,7,1653,8127,0
531363010,2007,159000,0,3,7,1218,9605,0
531363030,2006,152000,0,3,7,1141,7500,0
531363050,2004,143500,0,3,6,1158,7500,0
531369010,2004,193000,0,3,7,1812,10628,0
531369020,2004,203000,0,3,8,1512,10141,0
531371050,2003,184900,0,2,7,1200,10083,0
531375040,2004,159000,0,3,7,1114,13072,0
531375090,2004,142000,0,3,5,1114,13072,0
531375130,2003,153000,0,3,5,1114,12450,0
531376090,2008,224243,0,2,7,1450,7328,0
531379050,1996,220000,1,4,7,2122,11492,0
531382070,2005,257000,1,2,8,1844,10994,0
531385020,2001,189000,1,3,7,1434,8529,0
531450120,1992,171500,0,3,6,1730,7703,0
531452010,1980,120000,1,3,6,1217,10762,0
531452070,1990,145000,0,2,6,1332,7175,0
531452260,1994,184000,0,3,7,1540,9109,0
531453100,1986,162000,0,3,6,1400,10274,0
531475220,1981,160000,2,4,6,1882,8250,0
531477020,1950,82000,0,2,4,841,8400,0
531479020,1928,76000,0,2,6,784,9000,0
532353020,1962,110000,0,3,5,980,9750,0
532353130,1977,135000,0,3,5,980,7064,0
532354160,1961,141000,0,3,5,864,8499,0
532354230,1961,122000,0,2,5,864,9079,0
532376070,1965,124100,0,3,5,1020,9316,0
532376110,1963,129000,0,3,5,912,7791,0
532377130,1961,131400,1,3,5,1144,10000,0
532378120,1965,62383,1,3,5,864,8281,0
532378180,1962,123000,0,3,5,912,7150,0
532478020,1980,275000,2,2,8,2014,15676,0
533135020,1991,235000,1,3,7,1755,11949,0
533206020,2004,280750,1,3,7,3005,2880,0
533210010,2009,164500,0,2,6,1224,3951,0
533210020,2009,173733,0,2,6,1224,3000,0
533213010,2008,222000,1,2,6,1726,3830,0
533213020,2008,195000,1,1,6,1256,4217,0
533213040,1999,172500,0,3,6,1471,3230,0
533221040,2000,180000,0,2,6,1512,2998,0
533223030,1999,156000,0,3,7,1452,3768,0
533236050,1999,172500,0,3,8,1739,2645,0
533252040,1977,318750,1,2,8,1694,14694,0
533253070,1981,211500,2,1,8,1226,3782,0
533254050,1981,241600,0,2,7,1740,15417,0
533254110,1976,180500,1,4,8,2499,9600,0
533352150,1976,150000,1,3,4,1620,9991,0
534125080,1968,154000,0,4,6,1556,11700,0
534127130,1970,185000,1,2,6,1442,11717,0
